user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
4240812,1,40,1,후레쉬치즈,"11,900원",2.0,3,1
328281,1,30,10,세미하드,"4,900원",1.0,1,2
2526083,0,30,1,후레쉬치즈,"11,900원",1.0,3,1
5736193,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
65657,1,40,1,후레쉬치즈,"4,600원",2.0,3,1
3340403,1,30,1,하드치즈,"11,500원",1.0,5,3
662587,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
3963928,1,40,5,세미하드,"4,900원",2.0,4,2
5276278,1,20,6,후레쉬치즈,"9,600원",,1,1
2191642,1,30,1,후레쉬치즈,"6,240원",1.0,1,1
2149387,0,30,7,후레쉬치즈,"3,990원",1.0,1,1
1078103,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
1260816,1,30,1,후레쉬치즈,"6,240원",1.0,1,1
75529,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
146396,1,20,3,후레쉬치즈,"14,900원",,11,1
4680844,1,50,1,소프트치즈,"4,165원",3.0,7,4
85181,1,30,3,소프트치즈,"4,165원",1.0,7,4
1499649,1,60,1,후레쉬치즈,"6,800원",,1,1
207360,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
3966450,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
4161755,1,50,2,소프트치즈,"4,165원",3.0,8,4
1475703,1,30,3,후레쉬치즈,"8,240원",1.0,3,1
4485537,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
812551,1,30,2,후레쉬치즈,"14,900원",1.0,11,1
2829608,0,40,1,후레쉬치즈,"6,800원",2.0,1,1
3684813,1,40,1,소프트치즈,"5,130원",2.0,7,4
738458,1,40,1,후레쉬치즈,"9,600원",2.0,1,1
6349576,1,40,1,후레쉬치즈,"4,600원",2.0,1,1
6477732,1,40,1,소프트치즈,"8,400원",2.0,8,4
1491295,1,20,1,후레쉬치즈,"14,900원",,11,1
88160,0,40,2,세미하드,"4,900원",2.0,4,2
2281464,1,40,1,후레쉬치즈,"4,600원",2.0,3,1
3330053,1,40,2,후레쉬치즈,"14,900원",2.0,11,1
2756435,1,30,5,후레쉬치즈,"3,990원",1.0,1,1
4137864,1,30,1,소프트치즈,"4,165원",1.0,7,4
5194226,1,40,2,소프트치즈,"4,165원",2.0,8,4
6093041,1,40,2,소프트치즈,"4,165원",2.0,7,4
3160429,0,30,1,후레쉬치즈,"3,870원",1.0,1,1
3497846,1,40,4,후레쉬치즈,"3,870원",2.0,1,1
